Designator,Mid X,Mid Y,Rotation,Layer
C1,-227.232752,67.189925,270.0,bottom
C10,-234.181998,80.437,0.0,bottom
C11,-187.434,56.563,0.0,bottom
C12,-234.666998,87.427,0.0,bottom
C13,-234.656998,88.337,0.0,bottom
C14,-222.436998,86.807,180.0,bottom
C15,-229.751998,87.792,90.0,bottom
C16,-224.951998,98.097,180.0,bottom
C2,-232.531998,67.927,270.0,bottom
C3,-229.341998,75.757,270.0,bottom
C4,-228.931998,87.792,90.0,bottom
C5,-232.341998,87.997,90.0,bottom
C6,-187.434,64.31,0.0,bottom
C7,-228.511998,75.757,270.0,bottom
C8,-233.381998,87.997,90.0,bottom
C9,-222.306998,79.977,180.0,bottom
D1,-173.8704,85.59875,180.0,bottom
EXLED1,-181.152,90.3875,0.0,bottom
EXLED2,-181.152,71.3375,0.0,bottom
EXSW1,-181.152,95.2,0.0,bottom
EXSW2,-181.152,76.15,0.0,bottom
J1,-179.152,109.93875,180.0,bottom
J2,-176.232,60.50375,90.0,bottom
LED1,-181.765828,41.33932,293.88,bottom
LED10,-238.302,66.575,0.0,bottom
LED11,-238.302,85.625,0.0,bottom
LED12,-238.302,104.675,0.0,bottom
LED13,-257.352,102.29375,0.0,bottom
LED14,-257.352,83.24375,0.0,bottom
LED15,-257.352,64.19375,0.0,bottom
LED16,-276.402,59.43125,0.0,bottom
LED17,-276.402,78.48125,0.0,bottom
LED18,-276.402,97.53125,0.0,bottom
LED19,-295.452,97.53125,0.0,bottom
LED2,-200.202,61.8125,0.0,bottom
LED20,-295.452,78.48125,0.0,bottom
LED21,-295.452,59.43125,0.0,bottom
LED3,-200.202,80.8625,0.0,bottom
LED4,-200.202,99.9125,0.0,bottom
LED5,-219.252,102.29375,0.0,bottom
LED6,-219.252,83.24375,0.0,bottom
LED7,-219.252,64.19375,0.0,bottom
LED8,-208.947774,40.688861,11.939999999999998,bottom
LED9,-228.777,42.7625,0.0,bottom
R1,-186.342002,106.59875,270.0,bottom
R2,-172.042002,106.57875,270.0,bottom
R3,-230.781998,70.527,180.0,bottom
R4,-230.571998,87.792,270.0,bottom
R5,-231.401998,87.792,90.0,bottom
R6,-227.571998,97.517,270.0,bottom
R7,-226.471998,97.517,270.0,bottom
R8,-174.365,91.203,270.0,bottom
R9,-175.508,91.203,90.0,bottom
RC1,-101.962752,69.186675,270.0,bottom
RC10,-97.838248,81.172675,180.0,bottom
RC11,-146.295,56.563,180.0,bottom
RC12,-109.048248,84.902675,0.0,bottom
RC13,-109.058248,85.772675,0.0,bottom
RC14,-99.998248,86.907675,90.0,bottom
RC15,-103.948248,88.002675,90.0,bottom
RC16,-103.786,100.758,180.0,bottom
RC2,-107.178248,70.007675,270.0,bottom
RC3,-105.963248,74.592675,270.0,bottom
RC4,-103.128248,88.007675,90.0,bottom
RC5,-106.475748,87.792675,90.0,bottom
RC6,-146.295,64.31,180.0,bottom
RC7,-105.138248,74.592675,270.0,bottom
RC8,-107.505748,87.792675,90.0,bottom
RC9,-108.917248,80.172675,270.0,bottom
RD1,-159.8586,85.59875,0.0,bottom
REXLED1,-152.577,90.3875,0.0,bottom
REXLED2,-152.577,71.3375,0.0,bottom
REXSW1,-152.576998,95.2,0.0,bottom
REXSW2,-152.576998,76.15,0.0,bottom
RJ1,-154.577,109.93875,180.0,bottom
RJ2,-157.497,60.50375,270.0,bottom
RLED1,-151.963172,41.33932,66.12,bottom
RLED10,-95.426998,66.575,0.0,bottom
RLED11,-95.426998,85.625,0.0,bottom
RLED12,-95.426998,104.675,0.0,bottom
RLED13,-76.376998,102.29375,0.0,bottom
RLED14,-76.376998,83.24375,0.0,bottom
RLED15,-76.376998,64.19375,0.0,bottom
RLED16,-57.326998,59.43125,0.0,bottom
RLED17,-57.326998,78.48125,0.0,bottom
RLED18,-57.326998,97.53125,0.0,bottom
RLED19,-38.276998,97.53125,0.0,bottom
RLED2,-133.527,61.8125,0.0,bottom
RLED20,-38.276998,78.48125,0.0,bottom
RLED21,-38.276998,59.43125,0.0,bottom
RLED3,-133.527,80.8625,0.0,bottom
RLED4,-133.527,99.9125,0.0,bottom
RLED5,-114.476998,102.29375,0.0,bottom
RLED6,-114.476998,83.24375,0.0,bottom
RLED7,-114.476998,64.19375,0.0,bottom
RLED8,-124.781226,40.688861,348.06,bottom
RLED9,-104.951998,42.7625,0.0,bottom
RR1,-161.686998,106.57875,270.0,bottom
RR2,-147.386998,106.59875,270.0,bottom
RR3,-105.468248,72.512675,180.0,bottom
RR4,-104.758248,88.007675,270.0,bottom
RR5,-105.578248,88.007675,90.0,bottom
RR6,-97.591,98.648,270.0,bottom
RR7,-98.734,98.648,270.0,bottom
RR8,-159.364,91.203,270.0,bottom
RR9,-158.221,91.203,90.0,bottom
RSMDSW1,-84.184248,97.912675,270.0,bottom
RSMDSW2,-80.628248,97.912675,270.0,bottom
RSW1,-147.608363,43.267287,66.12,bottom
RSW10,-95.426998,71.3375,0.0,bottom
RSW11,-95.426998,90.3875,0.0,bottom
RSW12,-95.426998,109.4375,0.0,bottom
RSW13,-76.376998,107.05625,0.0,bottom
RSW14,-76.376998,88.00625,0.0,bottom
RSW15,-76.376998,68.95625,0.0,bottom
RSW16,-57.326998,64.19375,0.0,bottom
RSW17,-57.326998,83.24375,0.0,bottom
RSW18,-57.326998,102.29375,0.0,bottom
RSW19,-38.276998,102.29375,0.0,bottom
RSW2,-133.526998,66.575,0.0,bottom
RSW20,-38.276998,83.24375,0.0,bottom
RSW21,-38.276998,64.19375,0.0,bottom
RSW3,-133.526998,85.625,0.0,bottom
RSW4,-133.526998,104.675,0.0,bottom
RSW5,-114.476998,107.05625,0.0,bottom
RSW6,-114.476998,88.00625,0.0,bottom
RSW7,-114.476998,68.95625,0.0,bottom
RSW8,-125.766524,45.348323,348.06,bottom
RSW9,-104.951998,47.525,0.0,bottom
RU1,-103.598248,81.972675,90.0,bottom
RU2,-145.1945,60.5,0.0,bottom
RU3,-141.779498,97.47375,270.0,bottom
RU4,-102.363494,98.968,0.0,bottom
RY1,-104.562752,70.203,0.0,bottom
RZD1,-161.1055,89.799,90.0,bottom
SMDSW1,-253.100752,97.912675,270.0,bottom
SMDSW2,-249.544752,97.912675,270.0,bottom
SW1,-186.120635,43.267287,293.88,bottom
SW10,-238.302,71.3375,0.0,bottom
SW11,-238.302,90.3875,0.0,bottom
SW12,-238.302,109.4375,0.0,bottom
SW13,-257.352,107.05625,0.0,bottom
SW14,-257.352,88.00625,0.0,bottom
SW15,-257.352,68.95625,0.0,bottom
SW16,-276.402,64.19375,0.0,bottom
SW17,-276.402,83.24375,0.0,bottom
SW18,-276.402,102.29375,0.0,bottom
SW19,-295.452,102.29375,0.0,bottom
SW2,-200.202,66.575,0.0,bottom
SW20,-295.452,83.24375,0.0,bottom
SW21,-295.452,64.19375,0.0,bottom
SW3,-200.202,85.625,0.0,bottom
SW4,-200.202,104.675,0.0,bottom
SW5,-219.252,107.05625,0.0,bottom
SW6,-219.252,88.00625,0.0,bottom
SW7,-219.252,68.95625,0.0,bottom
SW8,-207.962474,45.348323,11.939999999999998,bottom
SW9,-228.777,47.525,0.0,bottom
U1,-228.731998,82.17625,90.0,bottom
U2,-188.5345,60.5,180.0,bottom
U3,-189.477,100.70375,90.0,bottom
U4,-223.526998,96.317,0.0,bottom
Y1,-229.871998,68.157,0.0,bottom
ZD1,-172.6235,89.799,90.0,bottom
