Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, RC1, RC2",0201,4,27p,C85899
"C10, C12, C13, C14, C15, C16, C3, C4, C7, C9, RC10, RC12, RC13, RC14, RC15, RC16, RC3, RC4, RC7, RC9",0201,20,100n,C76939
"C11, C6, RC11, RC6",0805,4,10u,C15850
"C5, C8, RC5, RC8",0402,4,1u,C52923
"D1, RD1",D_SOD-323,2,1N4148W,C2128
"EXLED1, EXLED2, LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9, REXLED1, REXLED2, RLED1, RLED10, RLED11, RLED12, RLED13, RLED14, RLED15, RLED16, RLED17, RLED18, RLED19, RLED2, RLED20, RLED21, RLED3, RLED4, RLED5, RLED6, RLED7, RLED8, RLED9",YS-SK6812MINI-E,46,YS-SK6812MINI-E,C5149201
"EXSW1, EXSW2, REXSW1, REXSW2",keyswitch_choc12_hotswap_1u_rotary_encoder_ec12,4,RotaryEncoder_Switch,
"J1, RJ1",TYPE-C-31-M-13C,2,TYPE-C-31-M-13C,C2848620
"J2, RJ2",PJ-398A-5A_PJ-399B-6A,2,TRS,C128994
"R1, R2, RR1, RR2",0201,4,5.1k,C270344
"R3, R6, RR3, RR6",0402,4,1k,C11702
"R4, R5, RR4, RR5",0201,4,27,C270320
"R7, RR7",0402,2,DNF(10k),C25744
"R8, RR8",0402,2,5.6k,C25908
"R9, RR9",0402,2,10K,C25744
"RSMDSW1, RSMDSW2, SMDSW1, SMDSW2",TS-1088R-02026,4,TS-1088R-02026,C455280
"RSW1, SW1",keyswitch_choc12_hotswap_1.5u,2,SW_Push,
"RSW10, RSW11, RSW12, RSW13, RSW14, RSW15, RSW16, RSW17, RSW18, RSW19, RSW2, RSW20, RSW21, RSW3, RSW4, RSW5, RSW6, RSW7, RSW8, RSW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW3, SW4, SW5, SW6, SW7, SW8, SW9",keyswitch_choc12_hotswap_1u,40,SW_Push,
"RU1, U1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,2,RP2040,C2040
"RU2, U2",SOT-89-3,2,AMS1117-3.3,C347256
"RU3, U3",USON-10_2.5x1.0mm_P0.5mm,2,TPD4E05U06DQAR,C138714
"RU4, U4",Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,2,W25Q16JVUXIQ,C2843335
"RY1, Y1",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz 18pF,C91749
"RZD1, ZD1",D_SOD-123,2,B5819W SL,C8598
